;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;7.544444444444444;80.655704;1.0;2.0;2.0
1;13.932584269662922;125.9545676;1.0;4.0;4.0
2;22.01123595505618;265.8926692;1.0;8.0;8.0
3;24.1;167.3116316;2.0;4.0;8.0
4;20.455555555555556;698.5471448;1.0;16.0;16.0
5;39.55555555555556;297.5167725;2.0;8.0;16.0
6;20.377777777777776;1496.819157;1.0;32.0;32.0
7;41.32222222222222;711.743601;2.0;16.0;32.0
8;18.944444444444443;2997.3703638;1.0;64.0;64.0
9;40.477777777777774;1422.3846578000002;2.0;32.0;64.0
10;40.266666666666666;1585.1314012999999;2.0;36.0;72.0
11;60.43333333333333;1199.0956926;3.0;24.0;72.0
