;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;8.663366336633663;5.1752855;2.0;1.0;2.0
1;17.48;5.3089227999999995;1.0;4.0;4.0
2;35.292929292929294;5.235836;1.0;8.0;8.0
3;34.96;5.4830052;2.0;4.0;8.0
4;61.17;5.7066197999999995;2.0;7.0;14.0
5;42.295918367346935;14.363072400000002;3.0;5.0;15.0
6;70.37373737373737;5.445513200000001;1.0;16.0;16.0
7;69.77;5.840498;2.0;8.0;16.0
8;78.56;5.2393005;2.0;9.0;18.0
9;49.95918367346939;20.122127;3.0;6.0;18.0
10;88.1919191919192;5.807416;2.0;10.0;20.0
11;95.96;5.5118935;2.0;11.0;22.0
12;104.58;6.084756;2.0;12.0;24.0
13;122.5959595959596;6.476162800000001;2.0;14.0;28.0
14;77.51485148514851;196.0087244;1.0;30.0;30.0
15;129.26732673267327;5.8978965;2.0;15.0;30.0
16;76.24752475247524;200.55716280000001;1.0;32.0;32.0
17;137.93069306930693;5.655688800000001;2.0;16.0;32.0
18;86.73469387755102;119.92029840000002;4.0;10.0;40.0
19;73.84;1089.0070133999996;1.0;64.0;64.0
